Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
79.8,63229256384,4669,13542355.2,11328.0,992,14999603520,220454211.0,futex
18.1,14345545664,1134,12650393.0,10621600.0,333664,480209760,15823608.4,ppoll
1.6,1257936736,6217,202338.2,6880.0,992,293034976,4490256.7,ioctl
0.2,160255712,1133,141443.7,132064.0,69184,10338400,304998.1,mmap64
0.2,129431136,1138,113735.6,109904.0,14080,776032,37054.2,munmap
0.1,79743072,9,8860341.3,6921568.0,36832,41453376,13361997.7,poll
0.1,70065120,23,3046309.6,15680.0,6880,68357184,14237910.9,open
0.0,1998208,9,222023.1,79584.0,31424,1131264,358237.3,sem_wait
0.0,1923424,66,29142.8,19504.0,6432,206656,30509.8,mmap
0.0,1722816,310,5557.5,5184.0,2176,22688,1861.3,stat64
0.0,783168,3,261056.0,270592.0,239584,272992,18634.0,pthread_create
0.0,551552,25,22062.1,11264.0,2816,239680,46482.5,read
0.0,483360,16,30210.0,21200.0,4864,77888,21995.4,open64
0.0,438912,13,33762.5,28480.0,16448,49056,12421.7,socketpair
0.0,397920,30,13264.0,12944.0,1536,35008,7943.5,write
0.0,353120,14,25222.9,11792.0,4576,115392,30825.5,fopen
0.0,323872,242,1338.3,1120.0,992,42528,2665.2,pthread_cond_broadcast
0.0,270880,58,4670.3,4336.0,3584,7968,1027.9,openat64
0.0,210368,141,1492.0,1280.0,992,4416,555.4,fcntl
0.0,196800,65,3027.7,2528.0,2112,9664,1436.1,fstat64
0.0,125120,2,62560.0,62560.0,51104,74016,16201.2,pthread_mutex_lock
0.0,108608,3,36202.7,3936.0,1824,102848,57726.2,fgets
0.0,101856,5,20371.2,11104.0,8896,54720,19529.8,fopen64
0.0,90336,10,9033.6,5808.0,3616,28800,7641.9,fclose
0.0,78656,5,15731.2,12000.0,8640,30464,9004.5,fread
0.0,71040,2,35520.0,35520.0,34048,36992,2081.7,socket
0.0,41792,2,20896.0,20896.0,14656,27136,8824.7,fwrite
0.0,34176,1,34176.0,34176.0,34176,34176,0.0,connect
0.0,31968,1,31968.0,31968.0,31968,31968,0.0,bind
0.0,28256,3,9418.7,10496.0,4704,13056,4279.0,prctl
0.0,23104,1,23104.0,23104.0,23104,23104,0.0,pipe2
0.0,16160,6,2693.3,2512.0,1344,4896,1212.9,sigaction
0.0,9792,3,3264.0,3200.0,3040,3552,261.9,dup
0.0,9440,1,9440.0,9440.0,9440,9440,0.0,ftruncate
0.0,8512,1,8512.0,8512.0,8512,8512,0.0,stat
0.0,4224,1,4224.0,4224.0,4224,4224,0.0,signal
0.0,4096,1,4096.0,4096.0,4096,4096,0.0,fcntl64
0.0,1568,1,1568.0,1568.0,1568,1568,0.0,fflush
